Date,Close,High,Low,Open,Volume,RSI,Stoch,EMA_20,MACD,BB_upper,BB_lower,ATR,OBV,Volume_SMA_20,Log_Returns,Target
2017-11-10,77.022,77.2332,76.4342,76.9485,19397800,78.9658,71.5508,75.0758,2.0035,80.147,69.3749,1.3637,197813900,23069735.0,-0.0026,0
2017-11-13,77.077,77.0862,76.6454,76.8291,14196900,79.038,72.2831,75.2664,1.9175,80.2725,69.8262,1.3467,212010800,23160575.0,0.0007,0
2017-11-14,77.1873,77.2332,76.2046,76.6822,18801300,81.4389,71.1411,75.4494,1.8371,80.3301,70.3618,1.3487,230812100,23259440.0,0.0014,0
2017-11-15,76.5873,77.2426,76.3197,77.0396,19383100,75.3562,15.5645,75.5577,1.7053,80.2352,70.9882,1.3628,211429000,23563560.0,-0.0078,0
2017-11-16,76.7904,76.9934,76.5504,76.6981,20962800,47.773,36.5264,75.6751,1.5988,80.1051,71.6424,0.9064,232391800,23857060.0,0.0026,0
2017-11-17,76.052,76.7165,75.9043,76.7165,22079000,39.32,7.1565,75.711,1.4383,79.9553,72.16,0.8896,210312800,23817690.0,-0.0097,0
2017-11-20,76.172,76.2274,75.9136,76.052,16315000,47.3589,12.9711,75.7549,1.3056,79.7419,72.7512,0.8301,226627800,23602080.0,0.0016,0
2017-11-21,77.2703,77.3811,76.3658,76.3658,21237500,58.492,66.1958,75.8993,1.2745,79.5073,73.4708,0.8587,247865300,23788095.0,0.0143,0
2017-11-22,76.7073,77.4365,76.6427,77.3719,20553100,45.1591,38.9129,75.9762,1.1906,78.9615,74.4662,0.8275,227312200,23795210.0,-0.0073,1
2017-11-24,76.8458,77.0027,76.4028,76.615,7425600,45.7697,45.6226,76.059,1.1224,77.8305,76.049,0.7956,234737800,22560455.0,0.0018,0
2017-11-27,77.4088,77.5103,76.8827,76.8919,18265200,48.443,72.9055,76.1876,1.1011,77.877,76.0467,0.8024,253003000,19920380.0,0.0073,0
2017-11-28,78.341,78.5071,77.5472,77.5934,21926000,57.9021,93.6171,76.3927,1.1462,78.1309,75.9228,0.8172,274929000,19428845.0,0.012,0
2017-11-29,76.9196,78.3779,76.7719,78.1841,27381100,44.8723,39.0078,76.4428,1.0551,78.1176,75.9892,0.8807,247547900,19443570.0,-0.0183,0
2017-11-30,77.6856,78.0087,76.9196,77.0765,33054600,53.0732,68.439,76.5612,1.0328,78.1698,76.0667,0.8496,280602500,19980930.0,0.0099,0
2017-12-01,77.7687,78.2763,76.8088,77.1596,29532100,55.051,71.6309,76.6762,1.0102,78.2383,76.0564,0.8974,310134600,20257890.0,0.0011,0
2017-12-04,74.8337,77.9256,74.483,77.9164,39094900,39.0803,8.7157,76.5007,0.7468,78.5261,75.525,1.1118,271039700,21330960.0,-0.0385,1
2017-12-05,75.3044,76.3104,74.7414,75.0736,26152300,41.1456,20.4121,76.3868,0.5695,78.5728,75.2514,1.1504,297192000,21645530.0,0.0063,1
2017-12-06,76.4028,76.735,75.1568,75.2675,26162100,49.1708,47.7067,76.3883,0.5117,78.5224,75.2031,1.1972,323354100,22056650.0,0.0145,1
2017-12-07,76.1351,76.4212,75.6828,76.1812,23184500,47.0734,41.0553,76.3642,0.4393,78.4327,75.1408,1.2183,300169600,22314165.0,-0.0035,1
2017-12-08,77.6764,78.0641,76.9104,77.1872,24489100,56.7692,79.3574,76.4892,0.5005,78.4927,75.1261,1.2928,324658700,22479700.0,0.02,1
2017-12-11,78.664,78.7932,77.6395,77.7964,22857900,59.6844,97.0022,76.6963,0.6215,78.7676,75.0154,1.3528,347516600,22652705.0,0.0126,0
2017-12-12,78.987,79.4208,78.5255,78.7378,23924100,57.0992,91.2149,76.9145,0.735,79.0842,74.8897,1.3304,371440700,23139065.0,0.0041,1
2017-12-13,78.7748,79.3747,78.6086,79.1347,22062700,58.8051,86.9163,77.0916,0.7986,79.3105,74.8222,1.3284,349378000,23302135.0,-0.0027,1
2017-12-14,78.1656,79.2547,78.0179,78.8486,19306000,55.4043,74.5796,77.1939,0.7907,79.4292,74.8613,1.3739,330072000,23298280.0,-0.0078,1
2017-12-15,80.1592,80.3807,78.341,78.6917,53936700,60.0812,96.2442,77.4763,0.9346,79.9562,74.6712,1.4846,384008700,24946975.0,0.0252,0
2017-12-18,79.7254,80.7591,79.5869,80.4084,22283800,55.2668,83.5294,77.6905,1.0021,80.2777,74.7171,1.4899,361724900,24957215.0,-0.0054,0
2017-12-19,79.2178,79.6977,78.7009,79.6977,23524800,59.3961,75.4412,77.836,1.003,80.4578,74.8415,1.4484,338200100,25317705.0,-0.0064,0
2017-12-20,78.9316,79.6516,78.1841,79.5593,23674900,55.3025,70.8824,77.9403,0.9695,80.5914,74.874,1.4754,314525200,25439575.0,-0.0036,0
2017-12-21,78.9132,79.467,78.8209,79.4208,17990700,54.8973,70.5884,78.033,0.9307,80.7054,74.9807,1.4167,296534500,25311455.0,-0.0002,0
2017-12-22,78.9224,79.0332,78.3779,78.8209,14145800,73.3404,69.4788,78.1177,0.8905,80.8075,75.0862,1.2176,310680300,25647465.0,0.0001,0
